NDVI,GNDVI,NDRE,DryYield
0.63515,0.77296,0.53248,457.17
0.64312,0.7762,0.53924,399.1057
0.63257,0.77449,0.5339,345.868
0.62121,0.77091,0.5255,405.3706
0.62121,0.77091,0.5255,365.3243
0.61145,0.75393,0.51509,312.8152
0.6074,0.76508,0.51416,339.8182
0.61738,0.76238,0.51659,435.7276
0.61738,0.76238,0.51659,377.041
0.63073,0.76315,0.52366,377.2499
0.62142,0.75832,0.51857,393.8485
0.61345,0.75788,0.51302,398.7592
0.61345,0.75788,0.51302,383.6557
0.6164,0.76022,0.50991,417.2338
0.61742,0.76295,0.51278,368.8056
0.60981,0.7553,0.50859,373.4746
0.60981,0.7553,0.50859,359.126
0.60632,0.74742,0.50067,369.8481
0.61307,0.75243,0.49745,374.0043
0.60903,0.74953,0.50093,315.517
0.60903,0.74953,0.50093,337.7902
0.6017,0.74098,0.49365,394.5397
0.59932,0.74381,0.49298,372.9856
0.59785,0.74598,0.49709,341.0106
0.59338,0.74401,0.49921,347.208
0.59338,0.74401,0.49921,322.7616
0.58426,0.73517,0.48279,370.9063
0.58063,0.73213,0.48223,323.6463
0.58381,0.73522,0.47856,341.4253
0.58381,0.73522,0.47856,371.8432
0.58754,0.74308,0.4845,451.5119
0.59324,0.73716,0.48579,386.3802
0.60088,0.74515,0.49222,300.9605
0.60088,0.74515,0.49222,347.6059
0.63135,0.765,0.53409,351.9475
0.63135,0.765,0.53409,361.6908
0.63373,0.76684,0.54002,432.956
0.63985,0.76954,0.5456,426.3947
0.64214,0.77535,0.54201,415.5278
0.64214,0.77535,0.54201,381.0327
0.65586,0.77771,0.55005,389.3519
0.64571,0.77778,0.53477,382.3856
0.63422,0.77534,0.52938,353.7774
0.63422,0.77534,0.52938,339.2524
0.62603,0.76238,0.53324,332.2193
0.6372,0.76794,0.53148,379.3121
0.63476,0.76999,0.52882,377.5518
0.63476,0.76999,0.52882,366.4215
0.64117,0.76965,0.53766,369.8034
0.63947,0.77689,0.53637,364.1853
0.63292,0.77482,0.52563,415.48
0.63292,0.77482,0.52563,327.7918
0.63808,0.77674,0.53455,381.7077
0.64243,0.77337,0.53924,406.058
0.63123,0.7646,0.53358,381.9491
0.63123,0.7646,0.53358,329.6681
0.6194,0.76072,0.52226,378.1658
0.62504,0.76133,0.52077,371.1
0.62671,0.7598,0.52,348.5786
0.62671,0.7598,0.52,359.516
0.61677,0.74892,0.512,345.2901
0.60682,0.7538,0.51109,332.7028
0.6119,0.75401,0.51491,342.7468
0.6133,0.75314,0.5171,366.5179
0.6133,0.75314,0.5171,339.539
0.59909,0.74915,0.50533,314.8647
0.59256,0.73587,0.50559,366.2432
0.59503,0.73358,0.49894,337.9881
0.59503,0.73358,0.49894,349.4769
0.6035,0.75031,0.50093,444.9186
0.61032,0.75229,0.50682,402.357
0.63195,0.7544,0.52199,336.3216
0.63195,0.7544,0.52199,306.9299
0.6577,0.78435,0.54866,568.0452
0.6577,0.78435,0.54866,480.1255
0.66138,0.78356,0.55974,450.5993
0.65576,0.77873,0.55117,440.5034
0.66433,0.78561,0.55643,425.0653
0.66433,0.78561,0.55643,405.9996
0.67869,0.79021,0.56855,422.6519
0.66832,0.78138,0.55185,377.852
0.65855,0.78118,0.54484,423.0426
0.65855,0.78118,0.54484,389.1193
0.65567,0.78112,0.54714,416.1324
0.65239,0.77585,0.5482,406.2557
0.64996,0.77427,0.54113,420.6199
0.64996,0.77427,0.54113,384.1916
0.64562,0.77338,0.53862,393.0765
0.66554,0.78193,0.54545,473.2397
0.65756,0.78797,0.54367,436.7853
0.65756,0.78797,0.54367,408.5212
0.66356,0.78574,0.54395,392.385
0.66667,0.78476,0.55195,420.2801
0.65227,0.77302,0.53814,391.3741
0.65227,0.77302,0.53814,366.8742
0.63693,0.76748,0.52555,388.8206
